state,office,person,party,start_date,end_date,notes,sources
Gujarat,cm,Bhupendrabhai Patel,Bharatiya Janata Party,2021-09-13,,,S2
Jammu and Kashmir,cm,Mehr Chand Mahajan,Independent,1947-10-15,1948-03-05,Designated Prime Minister of Jammu and Kashmir (pre-1965 title),N2
Jammu and Kashmir,cm,Sheikh Abdullah,Jammu & Kashmir National Conference,1948-03-05,1953-08-09,Designated Prime Minister of Jammu and Kashmir (pre-1965 title),N2
Jammu and Kashmir,cm,Bakshi Ghulam Mohammad,Jammu & Kashmir National Conference,1953-08-09,1963-10-12,Designated Prime Minister of Jammu and Kashmir (pre-1965 title),N2
Jammu and Kashmir,cm,Khwaja Shamsuddin,Jammu & Kashmir National Conference,1963-10-12,1964-02-29,Designated Prime Minister of Jammu and Kashmir (pre-1965 title),N2
Jammu and Kashmir,cm,Ghulam Mohammed Sadiq,Indian National Congress,1964-02-29,1965-03-30,Designated Prime Minister of Jammu and Kashmir (pre-1965 title),N2
Jammu and Kashmir,cm,Ghulam Mohammed Sadiq,Indian National Congress,1965-03-30,1971-12-12,,N2
Jammu and Kashmir,cm,Syed Mir Qasim,Indian National Congress,1971-12-12,1975-02-25,,N2
Jammu and Kashmir,cm,Sheikh Abdullah,Jammu & Kashmir National Conference,1975-02-25,1977-03-26,,N2
Jammu and Kashmir,presidents_rule,,,1977-03-26,1977-07-09,Governor Rule,N2
Jammu and Kashmir,cm,Sheikh Abdullah,Jammu & Kashmir National Conference,1977-07-09,1982-09-08,,N2
Jammu and Kashmir,cm,Farooq Abdullah,Jammu & Kashmir National Conference,1982-09-08,1984-07-02,,N2
Jammu and Kashmir,cm,Ghulam Mohammad Shah,Awami National Conference,1984-07-02,1986-03-06,,N2
Jammu and Kashmir,presidents_rule,,,1986-03-06,1986-11-07,Governor Rule,N2
Jammu and Kashmir,cm,Farooq Abdullah,Jammu & Kashmir National Conference,1986-11-07,1990-01-19,,N2
Jammu and Kashmir,presidents_rule,,,1990-01-19,1996-10-09,Governor Rule,N2
Jammu and Kashmir,cm,Farooq Abdullah,Jammu & Kashmir National Conference,1996-10-09,2002-10-18,,N2
Jammu and Kashmir,presidents_rule,,,2002-10-18,2002-11-02,Governor Rule,N2
Jammu and Kashmir,cm,Mufti Mohammad Sayeed,Jammu and Kashmir Peoples Democratic Party,2002-11-02,2005-11-02,,N2
Jammu and Kashmir,cm,Ghulam Nabi Azad,Indian National Congress,2005-11-02,2008-07-11,,N2
Jammu and Kashmir,presidents_rule,,,2008-07-11,2009-01-05,Governor Rule,N2
Jammu and Kashmir,cm,Omar Abdullah,Jammu & Kashmir National Conference,2009-01-05,2015-01-08,,N2
Jammu and Kashmir,presidents_rule,,,2015-01-08,2015-03-01,Governor Rule,N2
Jammu and Kashmir,cm,Mufti Mohammad Sayeed,Jammu and Kashmir Peoples Democratic Party,2015-03-01,2016-01-07,Died in office,N2
Jammu and Kashmir,presidents_rule,,,2016-01-07,2016-04-04,Governor Rule,N2
Jammu and Kashmir,cm,Mehbooba Mufti,Jammu and Kashmir Peoples Democratic Party,2016-04-04,2018-06-19,,N2
Jammu and Kashmir,presidents_rule,,,2018-06-19,2024-10-16,Governor Rule,N2
Jammu and Kashmir,cm,Omar Abdullah,Jammu & Kashmir National Conference,2024-10-16,,,N2
Ladakh,governor,Radha Krishna Mathur,,2019-10-31,2023-02-12,Lieutenant Governor,N2
Ladakh,governor,B. D. Mishra,,2023-02-12,,Lieutenant Governor,N2
Punjab,cm,Gopi Chand Bhargava,Indian National Congress,1947-08-15,1949-04-13,,N2
Punjab,cm,Bhim Sen Sachar,Indian National Congress,1949-04-13,1949-10-18,,N2
Punjab,cm,Gopi Chand Bhargava,Indian National Congress,1949-10-18,1951-06-20,,N2
Punjab,presidents_rule,,,1951-06-20,1952-04-17,,N2
Punjab,cm,Bhim Sen Sachar,Indian National Congress,1952-04-17,1956-01-23,,N2
Punjab,cm,Partap Singh Kairon,Indian National Congress,1956-01-23,1964-06-21,,N2
Punjab,cm,Gopi Chand Bhargava,Indian National Congress,1964-06-21,1964-07-06,,N2
Punjab,cm,Ram Kishan,Indian National Congress,1964-07-06,1966-07-05,,N2
Punjab,presidents_rule,,,1966-07-05,1966-11-01,,N2
Punjab,cm,Giani Gurmukh Singh Musafir,Indian National Congress,1966-11-01,1967-03-08,,N2
Punjab,cm,Gurnam Singh,Shiromani Akali Dal,1967-03-08,1967-11-25,,N2
Punjab,cm,Lachhman Singh Gill,Punjab Janta Party,1967-11-25,1968-08-23,,N2
Punjab,presidents_rule,,,1968-08-23,1969-02-17,,N2
Punjab,cm,Gurnam Singh,Shiromani Akali Dal,1969-02-17,1970-03-27,,N2
Punjab,cm,Parkash Singh Badal,Shiromani Akali Dal,1970-03-27,1971-06-14,,N2
Punjab,presidents_rule,,,1971-06-14,1972-03-17,,N2
Punjab,cm,Zail Singh,Indian National Congress,1972-03-17,1977-04-30,,N2
Punjab,presidents_rule,,,1977-04-30,1977-06-20,,N2
Punjab,cm,Parkash Singh Badal,Shiromani Akali Dal,1977-06-20,1980-02-17,,N2
Punjab,presidents_rule,,,1980-02-17,1980-06-06,,N2
Punjab,cm,Darbara Singh,Indian National Congress,1980-06-06,1983-10-10,,N2
Punjab,presidents_rule,,,1983-10-10,1985-09-29,,N2
Punjab,cm,Surjit Singh Barnala,Shiromani Akali Dal,1985-09-29,1987-05-11,,N2
Punjab,presidents_rule,,,1987-05-11,1992-02-25,,N2
Punjab,cm,Beant Singh,Indian National Congress,1992-02-25,1995-08-31,Assassinated in office,N2
Punjab,cm,Harcharan Singh Brar,Indian National Congress,1995-08-31,1996-11-21,,N2
Punjab,cm,Rajinder Kaur Bhattal,Indian National Congress,1996-11-21,1997-02-11,,N2
Punjab,cm,Parkash Singh Badal,Shiromani Akali Dal,1997-02-11,2002-02-26,,N2
Punjab,cm,Amarinder Singh,Indian National Congress,2002-02-26,2007-03-01,,N2
Punjab,cm,Parkash Singh Badal,Shiromani Akali Dal,2007-03-01,2017-03-16,,N2
Punjab,cm,Amarinder Singh,Indian National Congress,2017-03-16,2021-09-20,,N2
Punjab,cm,Charanjit Singh Channi,Indian National Congress,2021-09-20,2022-03-16,,N2
Punjab,cm,Bhagwant Mann,Aam Aadmi Party,2022-03-16,,,N2
Haryana,cm,Bhagwat Dayal Sharma,Indian National Congress,1966-11-01,1967-03-24,,N2
Haryana,cm,Rao Birender Singh,Vishal Haryana Party,1967-03-24,1967-11-02,,N2
Haryana,presidents_rule,,,1967-11-02,1968-05-22,,N2
Haryana,cm,Bansi Lal,Indian National Congress,1968-05-22,1975-12-01,,N2
Haryana,cm,Banarsi Das Gupta,Indian National Congress,1975-12-01,1977-04-30,,N2
Haryana,presidents_rule,,,1977-04-30,1977-06-21,,N2
Haryana,cm,Devi Lal,Janata Party,1977-06-21,1979-06-28,,N2
Haryana,cm,Bhajan Lal,Janata Party,1979-06-28,1980-01-22,,N2
Haryana,cm,Bhajan Lal,Indian National Congress,1980-01-22,1986-06-05,,N2
Haryana,cm,Bansi Lal,Indian National Congress,1986-06-05,1987-06-20,,N2
Haryana,cm,Devi Lal,Lok Dal,1987-06-20,1989-12-02,,N2
Haryana,cm,Om Prakash Chautala,Janata Dal,1989-12-02,1990-05-22,,N2
Haryana,cm,Banarsi Das Gupta,Janata Dal,1990-05-22,1990-07-12,,N2
Haryana,cm,Om Prakash Chautala,Janata Dal,1990-07-12,1990-07-17,,N2
Haryana,cm,Hukam Singh,Janata Dal,1990-07-17,1991-03-22,,N2
Haryana,cm,Om Prakash Chautala,Samajwadi Janata Party (Rashtriya),1991-03-22,1991-04-06,,N2
Haryana,presidents_rule,,,1991-04-06,1991-06-23,,N2
Haryana,cm,Bhajan Lal,Indian National Congress,1991-06-23,1996-05-11,,N2
Haryana,cm,Bansi Lal,Haryana Vikas Party,1996-05-11,1999-07-24,,N2
Haryana,cm,Om Prakash Chautala,Indian National Lok Dal,1999-07-24,2005-03-05,,N2
Haryana,cm,Bhupinder Singh Hooda,Indian National Congress,2005-03-05,2014-10-26,,N2
Haryana,cm,Manohar Lal Khattar,Bharatiya Janata Party,2014-10-26,2024-03-12,,N2
Haryana,cm,Nayab Singh Saini,Bharatiya Janata Party,2024-03-12,,,N2
Himachal Pradesh,cm,Yashwant Singh Parmar,Indian National Congress,1952-03-08,1956-10-31,Part C State Chief Minister,N2
Himachal Pradesh,cm,Yashwant Singh Parmar,Indian National Congress,1963-07-01,1977-01-28,,N2
Himachal Pradesh,cm,Thakur Ram Lal,Indian National Congress,1977-01-28,1977-04-30,,N2
Himachal Pradesh,presidents_rule,,,1977-04-30,1977-06-22,,N2
Himachal Pradesh,cm,Shanta Kumar,Janata Party,1977-06-22,1980-02-14,,N2
Himachal Pradesh,cm,Thakur Ram Lal,Indian National Congress,1980-02-14,1983-04-07,,N2
Himachal Pradesh,cm,Virbhadra Singh,Indian National Congress,1983-04-08,1990-03-05,,N2
Himachal Pradesh,cm,Shanta Kumar,Bharatiya Janata Party,1990-03-05,1992-12-15,,N2
Himachal Pradesh,presidents_rule,,,1992-12-15,1993-12-03,,N2
Himachal Pradesh,cm,Virbhadra Singh,Indian National Congress,1993-12-03,1998-03-24,,N2
Himachal Pradesh,cm,Prem Kumar Dhumal,Bharatiya Janata Party,1998-03-24,2003-03-06,,N2
Himachal Pradesh,cm,Virbhadra Singh,Indian National Congress,2003-03-06,2007-12-30,,N2
Himachal Pradesh,cm,Prem Kumar Dhumal,Bharatiya Janata Party,2007-12-30,2012-12-25,,N2
Himachal Pradesh,cm,Virbhadra Singh,Indian National Congress,2012-12-25,2017-12-27,,N2
Himachal Pradesh,cm,Jai Ram Thakur,Bharatiya Janata Party,2017-12-27,2022-12-11,,N2
Himachal Pradesh,cm,Sukhvinder Singh Sukhu,Indian National Congress,2022-12-11,,,N2
Uttarakhand,cm,Nityanand Swami,Bharatiya Janata Party,2000-11-09,2001-10-30,,N2
Uttarakhand,cm,Bhagat Singh Koshyari,Bharatiya Janata Party,2001-10-30,2002-03-02,,N2
Uttarakhand,cm,N. D. Tiwari,Indian National Congress,2002-03-02,2007-03-07,,N2
Uttarakhand,cm,B. C. Khanduri,Bharatiya Janata Party,2007-03-07,2009-06-27,,N2
Uttarakhand,cm,Ramesh Pokhriyal,Bharatiya Janata Party,2009-06-27,2011-09-11,,N2
Uttarakhand,cm,B. C. Khanduri,Bharatiya Janata Party,2011-09-11,2012-03-13,,N2
Uttarakhand,cm,Vijay Bahuguna,Indian National Congress,2012-03-13,2014-01-31,,N2
Uttarakhand,cm,Harish Rawat,Indian National Congress,2014-02-01,2016-03-27,,N2
Uttarakhand,presidents_rule,,,2016-03-27,2016-04-21,,N2
Uttarakhand,cm,Harish Rawat,Indian National Congress,2016-04-21,2016-04-22,,N2
Uttarakhand,presidents_rule,,,2016-04-22,2016-05-11,,N2
Uttarakhand,cm,Harish Rawat,Indian National Congress,2016-05-11,2017-03-18,,N2
Uttarakhand,cm,Trivendra Singh Rawat,Bharatiya Janata Party,2017-03-18,2021-03-10,,N2
Uttarakhand,cm,Tirath Singh Rawat,Bharatiya Janata Party,2021-03-10,2021-07-04,,N2
Uttarakhand,cm,Pushkar Singh Dhami,Bharatiya Janata Party,2021-07-04,,,N2
Delhi,cm,Chaudhary Brahm Prakash,Indian National Congress,1952-03-17,1955-02-12,,N2
Delhi,cm,Gurmukh Nihal Singh,Indian National Congress,1955-02-12,1956-11-01,,N2
Delhi,cm,Madan Lal Khurana,Bharatiya Janata Party,1993-12-02,1996-02-26,,N2
Delhi,cm,Sahib Singh Verma,Bharatiya Janata Party,1996-02-26,1998-10-12,,N2
Delhi,cm,Sushma Swaraj,Bharatiya Janata Party,1998-10-12,1998-12-03,,N2
Delhi,cm,Sheila Dikshit,Indian National Congress,1998-12-03,2013-12-28,,N2
Delhi,cm,Arvind Kejriwal,Aam Aadmi Party,2013-12-28,2014-02-14,,N2
Delhi,presidents_rule,,,2014-02-14,2015-02-14,,N2
Delhi,cm,Arvind Kejriwal,Aam Aadmi Party,2015-02-14,2024-09-17,,N2
Delhi,cm,Atishi Marlena,Aam Aadmi Party,2024-09-21,,,N2
Chandigarh,governor,Bhairab Dutt Pande,,1984-06-02,1984-07-02,Administrator,N2
Chandigarh,governor,Banwarilal Purohit,,2021-08-31,2024-07-30,Administrator,N2
Chandigarh,governor,Gulab Chand Kataria,,2024-07-31,,Administrator,N2
